id,questionid,questionusageid,name,questionsummary,rightanswer,responsesummary,timemodified,state,fraction,userid,username,"from unixtime(qa.timemodified)"
3524,369,222,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","Information Risk Management Policy
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3525,370,222,Q07,"Which of the following is a type of threat to an organisation?
: A weak password
; Not applying computer updates
; New regulations
; All of the above
","All of the above
","All of the above
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3526,371,222,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You have had a virus on your PC
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3527,372,222,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","Information Commissioners Office
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3528,373,222,Q10,"How would you safeguard your organisations brand?
: Follow the organisations policies
; Only send email to existing customers
; Remove the company logo when sending to unknown customers
; Remove your email signature
","Follow the organisations policies
","Follow the organisations policies
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3529,374,222,Q11,"Which of the following are classed as Digital Communication Channels?
: Blogging
; Social Media
; Email marketing
; All of the above
","All of the above
","Email marketing
",1605812961,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3530,375,222,Q12,"Which of the following is the least secure when accessing the internet?
: log onto an open network in a local coffee shop
; use your mobile phone from your home network
; use your personal computer on the guest WiFi at work
; log onto a secure train network with you phone whilst traveling
","log onto an open network in a local coffee shop
","log onto an open network in a local coffee shop
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3531,376,222,Q13,"Which of the following is the best method for planning your own learning activities?
: Wait to see what opportunities become available that meet the gaps in your knowledge
; Define a clear purpose and learning objectives aligned to your job role
; Volunteer for every training opportunity that becomes available within the organisation
; Select the same training that colleagues have applied to attend
","Define a clear purpose and learning objectives aligned to your job role
","Define a clear purpose and learning objectives aligned to your job role
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3532,377,222,Q14,"Which of the following combinations should be considered when planning effective time management?
: Customer, costs, capacity
; People, price, product
; Tasks, time, team
; information, intention, implementation
","Tasks, time, team
","Tasks, time, team
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3533,378,222,Q15,"How may your continuous improvement benefit the business?
: Increase productivity
; Informs the business strategy
; informs the learning and development budget
; Increases costs
","Increase productivity
","Increase productivity
",1605812961,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3534,379,222,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","Through observation of colleagues
",1605812961,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:21"
3535,364,223,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605812978,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3536,365,223,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605812978,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3537,366,223,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","SharePoint
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3538,367,223,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605812978,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3539,368,223,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","PDF
",1605812978,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3540,369,223,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","Safeguarding Policy
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3541,370,223,Q07,"Which of the following is a type of threat to an organisation?
: A weak password
; Not applying computer updates
; New regulations
; All of the above
","All of the above
","New regulations
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3542,371,223,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You could not access your files
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3543,372,223,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","International Commissioners Office
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3544,373,223,Q10,"How would you safeguard your organisations brand?
: Follow the organisations policies
; Only send email to existing customers
; Remove the company logo when sending to unknown customers
; Remove your email signature
","Follow the organisations policies
","Only send email to existing customers
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3545,374,223,Q11,"Which of the following are classed as Digital Communication Channels?
: Blogging
; Social Media
; Email marketing
; All of the above
","All of the above
","Email marketing
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3546,375,223,Q12,"Which of the following is the least secure when accessing the internet?
: log onto an open network in a local coffee shop
; use your mobile phone from your home network
; use your personal computer on the guest WiFi at work
; log onto a secure train network with you phone whilst traveling
","log onto an open network in a local coffee shop
","use your mobile phone from your home network
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3547,376,223,Q13,"Which of the following is the best method for planning your own learning activities?
: Wait to see what opportunities become available that meet the gaps in your knowledge
; Define a clear purpose and learning objectives aligned to your job role
; Volunteer for every training opportunity that becomes available within the organisation
; Select the same training that colleagues have applied to attend
","Define a clear purpose and learning objectives aligned to your job role
","Wait to see what opportunities become available that meet the gaps in your knowledge
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3548,377,223,Q14,"Which of the following combinations should be considered when planning effective time management?
: Customer, costs, capacity
; People, price, product
; Tasks, time, team
; information, intention, implementation
","Tasks, time, team
","People, price, product
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3549,378,223,Q15,"How may your continuous improvement benefit the business?
: Increase productivity
; Informs the business strategy
; informs the learning and development budget
; Increases costs
","Increase productivity
","Informs the business strategy
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3550,379,223,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","By having a large learning and development budget
",1605812978,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:09:38"
3551,364,224,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Skype
",1605815382,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3552,365,224,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605815382,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3553,366,224,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","Google Drive
",1605815382,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3554,367,224,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605815382,gradedright,1.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3555,368,224,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","Excel
",1605815382,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3556,369,224,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","HR Policy
",1605815382,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3557,370,224,Q07,"Which of the following is a type of threat to an organisation?
: A weak password
; Not applying computer updates
; New regulations
; All of the above
","All of the above
","New regulations
",1605815382,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3558,371,224,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You could not access your files
",1605815382,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3559,372,224,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","International Commissioners Office
",1605815382,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-19 19:49:42"
3567,364,225,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3568,365,225,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3569,366,225,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","PowerBI
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3570,367,225,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3571,368,225,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","PDF
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3572,369,225,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","Information Risk Management Policy
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3573,370,225,Q07,"Which of the following is a type of threat to an organisation?
: A weak password
; Not applying computer updates
; New regulations
; All of the above
","All of the above
","All of the above
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3574,371,225,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You have had a virus on your PC
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3575,372,225,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","Information Commissioners Office
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3576,373,225,Q10,"How would you safeguard your organisations brand?
: Follow the organisations policies
; Only send email to existing customers
; Remove the company logo when sending to unknown customers
; Remove your email signature
","Follow the organisations policies
","Follow the organisations policies
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3577,374,225,Q11,"Which of the following are classed as Digital Communication Channels?
: Blogging
; Social Media
; Email marketing
; All of the above
","All of the above
","All of the above
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3578,375,225,Q12,"Which of the following is the least secure when accessing the internet?
: log onto an open network in a local coffee shop
; use your mobile phone from your home network
; use your personal computer on the guest WiFi at work
; log onto a secure train network with you phone whilst traveling
","log onto an open network in a local coffee shop
","log onto an open network in a local coffee shop
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3579,376,225,Q13,"Which of the following is the best method for planning your own learning activities?
: Wait to see what opportunities become available that meet the gaps in your knowledge
; Define a clear purpose and learning objectives aligned to your job role
; Volunteer for every training opportunity that becomes available within the organisation
; Select the same training that colleagues have applied to attend
","Define a clear purpose and learning objectives aligned to your job role
","Define a clear purpose and learning objectives aligned to your job role
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3580,377,225,Q14,"Which of the following combinations should be considered when planning effective time management?
: Customer, costs, capacity
; People, price, product
; Tasks, time, team
; information, intention, implementation
","Tasks, time, team
","Customer, costs, capacity
",1605865756,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3581,378,225,Q15,"How may your continuous improvement benefit the business?
: Increase productivity
; Informs the business strategy
; informs the learning and development budget
; Increases costs
","Increase productivity
","Increase productivity
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3582,379,225,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","Through continuous professional development
",1605865756,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 09:49:16"
3599,364,227,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3600,365,227,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3601,366,227,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","Google Drive
",1605889538,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3602,367,227,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3603,368,227,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","PDF
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3604,369,227,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","Information Risk Management Policy
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3605,370,227,Q07,"Which of the following is a type of threat to an organisation?
: A weak password
; Not applying computer updates
; New regulations
; All of the above
","All of the above
","All of the above
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3606,371,227,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You have had a virus on your PC
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3607,372,227,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","Information Commissioners Office
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3608,373,227,Q10,"How would you safeguard your organisations brand?
: Follow the organisations policies
; Only send email to existing customers
; Remove the company logo when sending to unknown customers
; Remove your email signature
","Follow the organisations policies
","Follow the organisations policies
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3609,374,227,Q11,"Which of the following are classed as Digital Communication Channels?
: Blogging
; Social Media
; Email marketing
; All of the above
","All of the above
","All of the above
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3610,375,227,Q12,"Which of the following is the least secure when accessing the internet?
: log onto an open network in a local coffee shop
; use your mobile phone from your home network
; use your personal computer on the guest WiFi at work
; log onto a secure train network with you phone whilst traveling
","log onto an open network in a local coffee shop
","log onto an open network in a local coffee shop
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3611,376,227,Q13,"Which of the following is the best method for planning your own learning activities?
: Wait to see what opportunities become available that meet the gaps in your knowledge
; Define a clear purpose and learning objectives aligned to your job role
; Volunteer for every training opportunity that becomes available within the organisation
; Select the same training that colleagues have applied to attend
","Define a clear purpose and learning objectives aligned to your job role
","Define a clear purpose and learning objectives aligned to your job role
",1605889538,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3612,377,227,Q14,"Which of the following combinations should be considered when planning effective time management?
: Customer, costs, capacity
; People, price, product
; Tasks, time, team
; information, intention, implementation
","Tasks, time, team
","Customer, costs, capacity
",1605889538,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3613,378,227,Q15,"How may your continuous improvement benefit the business?
: Increase productivity
; Informs the business strategy
; informs the learning and development budget
; Increases costs
","Increase productivity
","Informs the business strategy
",1605889538,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3614,379,227,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","Through observation of colleagues
",1605889538,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:25:38"
3615,364,228,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3616,365,228,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3617,366,228,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","PowerBI
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3618,367,228,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3619,368,228,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","PDF
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3620,369,228,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","Information Risk Management Policy
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3622,371,228,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You have had a virus on your PC
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3623,372,228,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","Information Commissioners Office
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3624,373,228,Q10,"How would you safeguard your organisations brand?
: Follow the organisations policies
; Only send email to existing customers
; Remove the company logo when sending to unknown customers
; Remove your email signature
","Follow the organisations policies
","Follow the organisations policies
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3625,374,228,Q11,"Which of the following are classed as Digital Communication Channels?
: Blogging
; Social Media
; Email marketing
; All of the above
","All of the above
","Email marketing
",1605889558,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3626,375,228,Q12,"Which of the following is the least secure when accessing the internet?
: log onto an open network in a local coffee shop
; use your mobile phone from your home network
; use your personal computer on the guest WiFi at work
; log onto a secure train network with you phone whilst traveling
","log onto an open network in a local coffee shop
","log onto an open network in a local coffee shop
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3627,376,228,Q13,"Which of the following is the best method for planning your own learning activities?
: Wait to see what opportunities become available that meet the gaps in your knowledge
; Define a clear purpose and learning objectives aligned to your job role
; Volunteer for every training opportunity that becomes available within the organisation
; Select the same training that colleagues have applied to attend
","Define a clear purpose and learning objectives aligned to your job role
","Define a clear purpose and learning objectives aligned to your job role
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3628,377,228,Q14,"Which of the following combinations should be considered when planning effective time management?
: Customer, costs, capacity
; People, price, product
; Tasks, time, team
; information, intention, implementation
","Tasks, time, team
","Tasks, time, team
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3629,378,228,Q15,"How may your continuous improvement benefit the business?
: Increase productivity
; Informs the business strategy
; informs the learning and development budget
; Increases costs
","Increase productivity
","Increase productivity
",1605889558,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3630,379,228,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","Through observation of colleagues
",1605889558,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:25:58"
3631,364,229,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1605889579,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3632,365,229,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1605889579,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3633,366,229,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","SharePoint
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3634,367,229,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1605889579,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3635,368,229,Q05,"which of the following is NOT a data visualisation tool?
: Tableau
; Power BI
; Excel
; PDF
","PDF
","PDF
",1605889579,gradedright,1.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3636,369,229,Q06,"Which policy or procedure would cover information security?
: HR Policy
; Finance Policy
; Information Risk Management Policy
; Safeguarding Policy
","Information Risk Management Policy
","Safeguarding Policy
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3637,370,229,Q07,"Which of the following is a type of threat to an organisation?
: A weak password
; Not applying computer updates
; New regulations
; All of the above
","All of the above
","New regulations
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3638,371,229,Q08,"Which of the following would be the most likely reason to change your password?
: You could not access your files
; You have updated your software or applied updates
; You have been on holiday and away from your PC for two weeks
; You have had a virus on your PC
","You have had a virus on your PC
","You could not access your files
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3639,372,229,Q09,"Who should you inform if your encounter a data breach?
: Information Commissioners Office
; International Commissioners Office
; Information Compliance Office
; International Compliance Office
","Information Commissioners Office
","International Commissioners Office
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3640,373,229,Q10,"How would you safeguard your organisations brand?
: Follow the organisations policies
; Only send email to existing customers
; Remove the company logo when sending to unknown customers
; Remove your email signature
","Follow the organisations policies
","Only send email to existing customers
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3641,374,229,Q11,"Which of the following are classed as Digital Communication Channels?
: Blogging
; Social Media
; Email marketing
; All of the above
","All of the above
","Email marketing
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3642,375,229,Q12,"Which of the following is the least secure when accessing the internet?
: log onto an open network in a local coffee shop
; use your mobile phone from your home network
; use your personal computer on the guest WiFi at work
; log onto a secure train network with you phone whilst traveling
","log onto an open network in a local coffee shop
","use your mobile phone from your home network
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3643,376,229,Q13,"Which of the following is the best method for planning your own learning activities?
: Wait to see what opportunities become available that meet the gaps in your knowledge
; Define a clear purpose and learning objectives aligned to your job role
; Volunteer for every training opportunity that becomes available within the organisation
; Select the same training that colleagues have applied to attend
","Define a clear purpose and learning objectives aligned to your job role
","Wait to see what opportunities become available that meet the gaps in your knowledge
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3644,377,229,Q14,"Which of the following combinations should be considered when planning effective time management?
: Customer, costs, capacity
; People, price, product
; Tasks, time, team
; information, intention, implementation
","Tasks, time, team
","People, price, product
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3645,378,229,Q15,"How may your continuous improvement benefit the business?
: Increase productivity
; Informs the business strategy
; informs the learning and development budget
; Increases costs
","Increase productivity
","Informs the business strategy
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3646,379,229,Q16,"How can you BEST maintain current and future awareness of technologies?
: Subscribe to professional memberships
; Through continuous professional development
; Through observation of colleagues
; By having a large learning and development budget
","Through continuous professional development
","By having a large learning and development budget
",1605889579,gradedwrong,0.0000000,8,andy-brown-test,"2020-11-20 16:26:19"
3663,364,231,Q01,"Which of the following is NOT a video communication platform?
: Email
; Skype
; Zoom
; Microsoft Teams
","Email
","Email
",1606332532,gradedright,1.0000000,11,johnstudent,"2020-11-25 19:28:52"
3664,365,231,Q02,"Which of the following is NOT classed as a peripheral hardware devise?
: Printer
; Server
; Webcam
; Keyboard
","Server
","Server
",1606332532,gradedright,1.0000000,11,johnstudent,"2020-11-25 19:28:52"
3665,366,231,Q03,"Which of the following is primarily used for processing and presenting data?
: Dropbox
; SharePoint
; Google Drive
; PowerBI
","PowerBI
","PowerBI
",1606332532,gradedright,1.0000000,11,johnstudent,"2020-11-25 19:28:52"
3666,367,231,Q04,"Which of the following is NOT an example of handling data securely?
: Save data to an encrypted USB when travelling
; Always save data to the company SharePoint
; Send data via an email to an intended recipient
; Always back data up to the server
","Send data via an email to an intended recipient
","Send data via an email to an intended recipient
",1606332532,gradedright,1.0000000,11,johnstudent,"2020-11-25 19:28:52"
